misra1,misra2,poet
کس ڈھٹائی سے وہ دل چھین کے کہتے ہیں امیرؔ ,وہ مرا گھر ہے رہے جس میں محبت میری ,Ameer Manai
کرتا میں دردمند طبیبوں سے کیا رجوع ,جس نے دیا تھا درد بڑا وہ حکیم تھا ,Ameer Manai
ان شوخ حسینوں پہ جو مائل نہیں ہوتا ,کچھ اور بلا ہوتی ہے وہ دل نہیں ہوتا ,Ameer Manai
آبرو شرط ہے انساں کے لیے دنیا میں ,نہ رہی آب جو باقی تو ہے گوہر پتھر ,Ameer Manai
مدت میں شام وصل ہوئی ہے مجھے نصیب ,دو چار سال تک تو الٰہی سحر نہ ہو ,Ameer Manai
تجھ سے مانگوں میں تجھی کو کہ سبھی کچھ مل جائے ,سو سوالوں سے یہی ایک سوال اچھا ہے ,Ameer Manai
مسجد میں بلاتے ہیں ہمیں زاہد نا فہم ,ہوتا کچھ اگر ہوش تو مے خانے نہ جاتے ,Ameer Manai
سادہ سمجھو نہ انہیں رہنے دو دیواں میں امیرؔ ,یہی اشعار زبانوں پہ ہیں رہنے والے ,Ameer Manai
شوق کہتا ہے پہنچ جاؤں میں اب کعبہ میں جلد ,راہ میں بت خانہ پڑتا ہے الٰہی کیا کروں ,Ameer Manai
ناوک ناز سے مشکل ہے بچانا دل کا ,درد اٹھ اٹھ کے بتاتا ہے ٹھکانا دل کا ,Ameer Manai
وائے قسمت وہ بھی کہتے ہیں برا ,ہم برے سب سے ہوئے جن کے لیے ,Ameer Manai
یار پہلو میں ہے تنہائی ہے کہہ دو نکلے ,آج کیوں دل میں چھپی بیٹھی ہے حسرت میری ,Ameer Manai
ملا کر خاک میں بھی ہائے شرم ان کی نہیں جاتی ,نگہ نیچی کئے وہ سامنے مدفن کے بیٹھے ہیں ,Ameer Manai
ملی ہے دختر رز لڑ جھگڑ کے قاضی سے ,جہاد کر کے جو عورت ملے حرام نہیں ,Ameer Manai
کباب سیخ ہیں ہم کروٹیں ہر سو بدلتے ہیں ,جل اٹھتا ہے جو یہ پہلو تو وہ پہلو بدلتے ہیں ,Ameer Manai
ہاتھ رکھ کر میرے سینے پہ جگر تھام لیا ,تم نے اس وقت تو گرتا ہوا گھر تھام لیا ,Ameer Manai
وہی رہ جاتے ہیں زبانوں پر ,شعر جو انتخاب ہوتے ہیں ,Ameer Manai
طول شب فراق کا قصہ نہ پوچھئے ,محشر تلک کہوں میں اگر مختصر کہوں ,Ameer Manai
باتیں ناصح کی سنیں یار کے نظارے کیے ,آنکھیں جنت میں رہیں کان جہنم میں رہے ,Ameer Manai
پتلیاں تک بھی تو پھر جاتی ہیں دیکھو دم نزع ,وقت پڑتا ہے تو سب آنکھ چرا جاتے ہیں ,Ameer Manai
پہلے تو مجھے کہا نکالو ,پھر بولے غریب ہے بلا لو ,Ameer Manai
خواب میں آنکھیں جو تلووں سے ملیں ,بولے اف اف پاؤں میرا چھل گیا ,Ameer Manai
گرہ سے کچھ نہیں جاتا ہے پی بھی لے زاہد ,ملے جو مفت تو قاضی کو بھی حرام نہیں ,Ameer Manai
سیدھی نگاہ میں تری ہیں تیر کے خواص ,ترچھی ذرا ہوئی تو ہیں شمشیر کے خواص ,Ameer Manai
عاشق کا بانکپن نہ گیا بعد مرگ بھی ,تختے پہ غسل کے جو لٹایا اکڑ گیا ,Ameer Manai
دیکھ لے بلبل و پروانہ کی بیتابی کو ,ہجر اچھا نہ حسینوں کا وصال اچھا ہے ,Ameer Manai
وہ پھول سر چڑھا جو چمن سے نکل گیا ,عزت اسے ملی جو وطن سے نکل گیا ,Ameer Manai
باغباں کلیاں ہوں ہلکے رنگ کی ,بھیجنی ہیں ایک کم سن کے لیے ,Ameer Manai
ابھی کمسن ہیں ضدیں بھی ہیں نرالی ان کی ,اس پہ مچلے ہیں کہ ہم درد جگر دیکھیں گے ,Ameer Manai
سو شعر ایک جلسے میں کہتے تھے ہم امیرؔ ,جب تک نہ شعر کہنے کا ہم کو شعور تھا ,Ameer Manai
کہتے ہو کہ ہم درد کسی کا نہیں سنتے ,میں نے تو رقیبوں سے سنا اور ہی کچھ ہے ,Ameer Manai
شب وصال بہت کم ہے آسماں سے کہو ,کہ جوڑ دے کوئی ٹکڑا شب جدائی کا ,Ameer Manai
رہا خواب میں ان سے شب بھر وصال ,مرے بخت جاگے میں سویا کیا ,Ameer Manai
نہ واعظ ہجو کر ایک دن دنیا سے جانا ہے ,ارے منہ ساقی کوثر کو بھی آخر دکھانا ہے ,Ameer Manai
اپنی محفل سے عبث ہم کو اٹھاتے ہیں حضور ,چپکے بیٹھے ہیں الگ آپ کا کیا لیتے ہیں ,Ameer Manai
سب حسیں ہیں زاہدوں کو ناپسند ,اب کوئی حور آئے گی ان کے لیے ,Ameer Manai
اللہ ری نزاکت جاناں کہ شعر میں ,مضموں بندھا کمر کا تو درد کمر ہوا ,Ameer Manai
شاخوں سے برگ گل نہیں جھڑتے ہیں باغ میں ,زیور اتر رہا ہے عروس بہار کا ,Ameer Manai
زاہد امید رحمت حق اور ہجو مئے ,پہلے شراب پی کے گناہگار بھی تو ہو ,Ameer Manai
پوچھا نہ جائے گا جو وطن سے نکل گیا ,بیکار ہے جو دانت دہن سے نکل گیا ,Ameer Manai
کعبہ بھی ہم گئے نہ گیا پر بتوں کا عشق ,اس درد کی خدا کے بھی گھر میں دوا نہیں ,Ameer Manai
خون ناحق کہیں چھپتا ہے چھپائے سے امیرؔ ,کیوں مری لاش پہ بیٹھے ہیں وہ دامن ڈالے ,Ameer Manai
موقوف جرم ہی پہ کرم کا ظہور تھا ,بندے اگر قصور نہ کرتے قصور تھا ,Ameer Manai
یہ کہوں گا یہ کہوں گا یہ ابھی کہتے ہو ,سامنے ان کے بھی جب حضرت دل یاد رہے ,Ameer Manai
خوشامد اے دل بے تاب اس تصویر کی کب تک ,یہ بولا چاہتی ہے پر نہ بولے گی نہ بولی ہے ,Ameer Manai
ہم جو پہنچے تو لب گور سے آئی یہ صدا ,آئیے آئیے حضرت بہت آزاد رہے ,Ameer Manai
گرد اڑی عاشق کی تربت سے تو جھنجھلا کر کہا ,واہ سر چڑھنے لگی پاؤں کی ٹھکرائی ہوئی ,Ameer Manai
چھیڑ دیکھو مری میت پہ جو آئے تو کہا ,تم وفاداروں میں ہو یا میں وفاداروں میں ہوں ,Ameer Manai
وصل میں خالی ہوئی غیر سے محفل تو کیا ,شرم بھی جائے تو میں جانوں کہ تنہائی ہوئی ,Ameer Manai
ہلال و بدر دونوں میں امیرؔ ان کی تجلی ہے ,یہ خاکہ ہے جوانی کا وہ نقشہ ہے لڑکپن کا ,Ameer Manai
توقع ہے دھوکے میں آ کر وہ پڑھ لیں ,کہ لکھا ہے ناما انہیں خط بدل کر ,Ameer Manai
برہمن دیر سے کعبے سے پھر آئے حاجی ,تیرے در سے نہ سرکنا تھا نہ سرکے عاشق ,Ameer Manai
ہے وصیت کہ کفن مجھ کو اسی کا دینا ,ہاتھ آ جائے جو اترا ہوا پیراہن دوست ,Ameer Manai
راستے اور تواضع میں ہے ربط قلبی ,جس طرح لام الف میں ہے الف لام میں ہے ,Ameer Manai
آئے بت خانے سے کعبے کو تو کیا بھر پایا ,جا پڑے تھے تو وہیں ہم کو پڑا رہنا تھا ,Ameer Manai
شیخ کہتا ہے برہمن کو برہمن اس کو سخت ,کعبہ و بت خانہ میں پتھر ہے پتھر کا جواب ,Ameer Manai
خشک سیروں تن شاعر کا لہو ہوتا ہے ,تب نظر آتی ہے اک مصرعۂ تر کی صورت ,Ameer Manai
فرقت میں منہ لپیٹے میں اس طرح پڑا ہوں ,جس طرح کوئی مردہ لپٹا ہوا کفن میں ,Ameer Manai
نبض بیمار جو اے رشک مسیحا دیکھی ,آج کیا آپ نے جاتی ہوئی دنیا دیکھی ,Ameer Manai
سارا پردہ ہے دوئی کا جو یہ پردہ اٹھ جائے ,گردن شیخ میں زنار برہمن ڈالے ,Ameer Manai
مسی چھوٹی ہوئی سوکھے ہوئے ہونٹ ,یہ صورت اور آپ آتے ہیں گھر سے ,Ameer Manai
کعبۂ رخ کی طرف پڑھنی ہے آنکھوں سے نماز ,چاہئے گرد نظر بہر تیمم مجھ کو ,Ameer Manai
جس غنچہ لب کو چھیڑ دیا خندہ زن ہوا ,جس گل پہ ہم نے رنگ جمایا چمن ہوا ,Ameer Manai
امیرؔ جاتے ہو بت خانے کی زیارت کو ,پڑے گا راہ میں کعبہ سلام کر لینا ,Ameer Manai
لائے کہاں سے اس رخ روشن کی آب و تاب ,بے جا نہیں جو شرم سے ہے آب آب شمع ,Ameer Manai
روز و شب یاں ایک سی ہے روشنی ,دل کے داغوں کا چراغاں اور ہے ,Ameer Manai
طرف کعبہ نہ جا حج کے لیے ناداں ہے ,غور کر دیکھ کہ ہے خانۂ دل مسکن دوست ,Ameer Manai
چار جھونکے جب چلے ٹھنڈے چمن یاد آ گیا ,سرد آہیں جب کسی نے لیں وطن یاد آ گیا ,Ameer Manai
ہو گیا بند در میکدہ کیا قہر ہوا ,شوق پا بوس حسیناں جو تجھے تھا اے دل ,Ameer Manai
جب کہیں دو گز زمیں دیکھی خودی سمجھا میں گور ,جب نئی دو چادریں دیکھیں کفن یاد آ گیا ,Ameer Manai
زانو پر امیرؔ سر کو رکھے ,پہروں گزرے کہ رو رہے ہیں ,Ameer Manai
لچک ہے شاخوں میں جنبش ہوا سے پھولوں میں ,بہار جھول رہی ہے خوشی کے پھولوں میں ,Ameer Manai
جی لگے آپ کا ایسا کہ کبھی جی نہ بھرے ,دل لگا کر جو سنیں آپ فسانہ دل کا ,Ameer Manai
قصر تن بگڑا کسی کا گورکن کی بن پڑی ,گھر کسی کا گر پڑا گھر بن گیا مزدور کا ,Ameer Manai
آنے جانے پہ سانس کے ہے مدار ,سخت ناپائیدار ہے دنیا ,Ameer Manai
تم نے کیا نہ یاد کبھی بھول کر ہمیں ,ہم نے تمہاری یاد میں سب کچھ بھلا دیا ,Bahadur Shah Zafar
کوئی کیوں کسی کا لبھائے دل کوئی کیا کسی سے لگائے دل ,وہ جو بیچتے تھے دوائے دل وہ دکان اپنی بڑھا گئے ,Bahadur Shah Zafar
ان حسرتوں سے کہہ دو کہیں اور جا بسیں ,اتنی جگہ کہاں ہے دل داغدار میں ,Bahadur Shah Zafar
کتنا ہے بد نصیب ظفرؔ دفن کے لیے ,دو گز زمین بھی نہ ملی کوئے یار میں ,Bahadur Shah Zafar
بات کرنی مجھے مشکل کبھی ایسی تو نہ تھی ,جیسی اب ہے تری محفل کبھی ایسی تو نہ تھی ,Bahadur Shah Zafar
ظفرؔ آدمی اس کو نہ جانئے گا وہ ہو کیسا ہی صاحب فہم و ذکا ,جسے عیش میں یاد خدا نہ رہی جسے طیش میں خوف خدا نہ رہا ,Bahadur Shah Zafar
نہ تھی حال کی جب ہمیں اپنے خبر رہے دیکھتے اوروں کے عیب و ہنر ,پڑی اپنی برائیوں پر جو نظر تو نگاہ میں کوئی برا نہ رہا ,Bahadur Shah Zafar
نہ دوں گا دل اسے میں یہ ہمیشہ کہتا تھا ,وہ آج لے ہی گیا اور ظفرؔ سے کچھ نہ ہوا ,Bahadur Shah Zafar
حال دل کیوں کر کریں اپنا بیاں اچھی طرح ,روبرو ان کے نہیں چلتی زباں اچھی طرح ,Bahadur Shah Zafar
ہم اپنا عشق چمکائیں تم اپنا حسن چمکاؤ ,کہ حیراں دیکھ کر عالم ہمیں بھی ہو تمہیں بھی ہو ,Bahadur Shah Zafar
دولت دنیا نہیں جانے کی ہرگز تیرے ساتھ ,بعد تیرے سب یہیں اے بے خبر بٹ جائے گی ,Bahadur Shah Zafar
ہم ہی ان کو بام پہ لائے اور ہمیں محروم رہے ,پردہ ہمارے نام سے اٹھا آنکھ لڑائی لوگوں نے ,Bahadur Shah Zafar
لگتا نہیں ہے دل مرا اجڑے دیار میں ,کس کی بنی ہے عالم ناپائیدار میں ,Bahadur Shah Zafar
بلبل کو باغباں سے نہ صیاد سے گلہ ,قسمت میں قید لکھی تھی فصل بہار میں ,Bahadur Shah Zafar
اے وائے انقلاب زمانے کے جور سے ,دلی ظفرؔ کے ہاتھ سے پل میں نکل گئی ,Bahadur Shah Zafar
خدا کے واسطے زاہد اٹھا پردہ نہ کعبہ کا ,کہیں ایسا نہ ہو یاں بھی وہی کافر صنم نکلے ,Bahadur Shah Zafar
یہ چمن یونہی رہے گا اور ہزاروں بلبلیں ,اپنی اپنی بولیاں سب بول کر اڑ جائیں گی ,Bahadur Shah Zafar
تو کہیں ہو دل دیوانہ وہاں پہنچے گا ,شمع ہوگی جہاں پروانہ وہاں پہنچے گا ,Bahadur Shah Zafar
اتنا نہ اپنے جامے سے باہر نکل کے چل ,دنیا ہے چل چلاؤ کا رستہ سنبھل کے چل ,Bahadur Shah Zafar
نہ درویشوں کا خرقہ چاہیئے نہ تاج شاہانا ,مجھے تو ہوش دے اتنا رہوں میں تجھ پہ دیوانا ,Bahadur Shah Zafar
یہ قصہ وہ نہیں تم جس کو قصہ خواں سے سنو ,مرے فسانۂ غم کو مری زباں سے سنو ,Bahadur Shah Zafar
اوروں کے بل پہ بل نہ کر اتنا نہ چل نکل ,بل ہے تو بل کے بل پہ تو کچھ اپنے بل کے چل ,Bahadur Shah Zafar
مرگ ہی صحت ہے اس کی مرگ ہی اس کا علاج ,عشق کا بیمار کیا جانے دوا کیا چیز ہے ,Bahadur Shah Zafar
محنت سے ہے عظمت کہ زمانے میں نگیں کو ,بے کاوش سینہ نہ کبھی ناموری دی ,Bahadur Shah Zafar
چاہیئے اس کا تصور ہی سے نقشہ کھینچنا ,دیکھ کر تصویر کو تصویر پھر کھینچی تو کیا ,Bahadur Shah Zafar
میرے سرخ لہو سے چمکی کتنے ہاتھوں میں مہندی ,شہر میں جس دن قتل ہوا میں عید منائی لوگوں نے ,Bahadur Shah Zafar
نہ مجھ کو کہنے کی طاقت کہوں تو کیا احوال ,نہ اس کو سننے کی فرصت کہوں تو کس سے کہوں ,Bahadur Shah Zafar
لوگوں کا احسان ہے مجھ پر اور ترا میں شکر گزار ,تیر نظر سے تم نے مارا لاش اٹھائی لوگوں نے ,Bahadur Shah Zafar
برائی یا بھلائی گو ہے اپنے واسطے لیکن ,کسی کو کیوں کہیں ہم بد کہ بدگوئی سے کیا حاصل ,Bahadur Shah Zafar
لے گیا چھین کے کون آج ترا صبر و قرار ,بے قراری تجھے اے دل کبھی ایسی تو نہ تھی ,Bahadur Shah Zafar
نہ کوہ کن ہے نہ مجنوں کہ تھے مرے ہمدرد ,میں اپنا درد محبت کہوں تو کس سے کہوں ,Bahadur Shah Zafar
کیا پوچھتا ہے ہم سے تو اے شوخ ستم گر ,جو تو نے کئے ہم پہ ستم کہہ نہیں سکتے ,Bahadur Shah Zafar
کیا تاب کیا مجال ہماری کہ بوسہ لیں ,لب کو تمہارے لب سے ملا کر کہے بغیر ,Bahadur Shah Zafar
تمنا ہے یہ دل میں جب تلک ہے دم میں دم اپنے ,ظفرؔ منہ سے ہمارے نام اس کا دم بہ دم نکلے ,Bahadur Shah Zafar
ہو گیا جس دن سے اپنے دل پر اس کو اختیار ,اختیار اپنا گیا بے اختیاری رہ گئی ,Bahadur Shah Zafar
بھری ہے دل میں جو حسرت کہوں تو کس سے کہوں ,سنے ہے کون مصیبت کہوں تو کس سے کہوں ,Bahadur Shah Zafar
ہمدمو دل کے لگانے میں کہو لگتا ہے کیا ,پر چھڑانا اس کا مشکل ہے لگانا سہل ہے ,Bahadur Shah Zafar
میں سسکتا رہ گیا اور مر گئے فرہاد و قیس ,کیا انہی دونوں کے حصے میں قضا تھی میں نہ تھا ,Bahadur Shah Zafar
غضب ہے کہ دل میں تو رکھو کدورت ,کرو منہ پہ ہم سے صفائی کی باتیں ,Bahadur Shah Zafar
ہم یہ تو نہیں کہتے کہ غم کہہ نہیں سکتے ,پر جو سبب غم ہے وہ ہم کہہ نہیں سکتے ,Bahadur Shah Zafar
گئی یک بہ یک جو ہوا پلٹ نہیں دل کو میرے قرار ہے ,کروں اس ستم کو میں کیا بیاں مرا غم سے سینہ فگار ہے ,Bahadur Shah Zafar
دیکھ دل کو مرے او کافر بے پیر نہ توڑ ,گھر ہے اللہ کا یہ اس کی تو تعمیر نہ توڑ ,Bahadur Shah Zafar
سب مٹا دیں دل سے ہیں جتنی کہ اس میں خواہشیں ,گر ہمیں معلوم ہو کچھ اس کی خواہش اور ہے ,Bahadur Shah Zafar
محبت چاہیے باہم ہمیں بھی ہو تمہیں بھی ہو ,خوشی ہو اس میں یا ہو غم ہمیں بھی ہو تمہیں بھی ہو ,Bahadur Shah Zafar
دل کو دل سے راہ ہے تو جس طرح سے ہم تجھے ,یاد کرتے ہیں کرے یوں ہی ہمیں بھی یاد تو ,Bahadur Shah Zafar
بنایا اے ظفرؔ خالق نے کب انسان سے بہتر ,ملک کو دیو کو جن کو پری کو حور و غلماں کو ,Bahadur Shah Zafar
جو تو ہو صاف تو کچھ میں بھی صاف تجھ سے کہوں ,ترے ہے دل میں کدورت کہوں تو کس سے کہوں ,Bahadur Shah Zafar
یار تھا گلزار تھا باد صبا تھی میں نہ تھا ,لائق پابوس جاناں کیا حنا تھی میں نہ تھا ,Bahadur Shah Zafar
لڑا کر آنکھ اس سے ہم نے دشمن کر لیا اپنا ,نگہ کو ناز کو انداز کو ابرو کو مژگاں کو ,Bahadur Shah Zafar
فرہاد و قیس و وامق و عذرا تھے چار دوست ,اب ہم بھی آ ملے تو ہوئے مل کے چار پانچ ,Bahadur Shah Zafar
روز معمورۂ دنیا میں خرابی ہے ظفرؔ ,ایسی بستی کو تو ویرانہ بنایا ہوتا ,Bahadur Shah Zafar
جا کہیو میرا نسیم سحر ,مرا چین گیا مری نیند گئی ,Bahadur Shah Zafar
خواب میرا ہے عین بیداری ,میں تو اس میں بھی دیکھتا کچھ ہوں ,Bahadur Shah Zafar
ظفرؔ بدل کے ردیف اور تو غزل وہ سنا ,کہ جس کا تجھ سے ہر اک شعر انتخاب ہوا ,Bahadur Shah Zafar
اب کی جو راہ محبت میں اٹھائی تکلیف ,سخت ہوتی ہمیں منزل کبھی ایسی تو نہ تھی ,Bahadur Shah Zafar
یاں تک عدو کا پاس ہے ان کو کہ بزم میں ,وہ بیٹھتے بھی ہیں تو مرے ہم نشیں سے دور ,Bahadur Shah Zafar
ادھر خیال مرے دل میں زلف کا گزرا ,ادھر وہ کھاتا ہوا دل میں پیچ و تاب آیا ,Bahadur Shah Zafar
بت پرستی جس سے ہووے حق پرستی اے ظفرؔ ,کیا کہوں تجھ سے کہ وہ طرز پرستش اور ہے ,Bahadur Shah Zafar
پائے کوباں کوئی زنداں میں نیا ہے مجنوں ,آتی آواز سلاسل کبھی ایسی تو نہ تھی ,Bahadur Shah Zafar
سہم کر اے ظفرؔ اس شوخ کماندار سے کہہ ,کھینچ کر دیکھ مرے سینے سے تو تیر نہ توڑ ,Bahadur Shah Zafar
ہاتھ کیوں باندھے مرے چھلا اگر چوری ہوا ,یہ سراپا شوخیٔ رنگ حنا تھی میں نہ تھا ,Bahadur Shah Zafar
نہ کچھ ہم ہنس کے سیکھے ہیں نہ کچھ ہم رو کے سیکھے ہیں ,جو کچھ تھوڑا سا سیکھے ہیں تمہارے ہو کے سیکھے ہیں ,Bahadur Shah Zafar
محبت کے یہ معنی ہیں کہ میں نے ,وہی چاہا کہ جو کچھ تو نے چاہا ,Bahadur Shah Zafar
خاکساری کے لیے گرچہ بنایا تھا مجھے ,کاش خاک در جانانہ بنایا ہوتا ,Bahadur Shah Zafar
اور بھی دکھ ہیں زمانے میں محبت کے سوا ,راحتیں اور بھی ہیں وصل کی راحت کے سوا ,Faiz Ahmad Faiz
دل ناامید تو نہیں ناکام ہی تو ہے ,لمبی ہے غم کی شام مگر شام ہی تو ہے ,Faiz Ahmad Faiz
کر رہا تھا غم جہاں کا حساب ,آج تم یاد بے حساب آئے ,Faiz Ahmad Faiz
اور کیا دیکھنے کو باقی ہے ,آپ سے دل لگا کے دیکھ لیا ,Faiz Ahmad Faiz
دونوں جہان تیری محبت میں ہار کے ,وہ جا رہا ہے کوئی شب غم گزار کے ,Faiz Ahmad Faiz
تمہاری یاد کے جب زخم بھرنے لگتے ہیں ,کسی بہانے تمہیں یاد کرنے لگتے ہیں ,Faiz Ahmad Faiz
نہیں نگاہ میں منزل تو جستجو ہی سہی ,نہیں وصال میسر تو آرزو ہی سہی ,Faiz Ahmad Faiz
وہ بات سارے فسانے میں جس کا ذکر نہ تھا ,وہ بات ان کو بہت نا گوار گزری ہے ,Faiz Ahmad Faiz
گلوں میں رنگ بھرے باد نوبہار چلے ,چلے بھی آؤ کہ گلشن کا کاروبار چلے ,Faiz Ahmad Faiz
کب ٹھہرے گا درد اے دل کب رات بسر ہوگی ,سنتے تھے وہ آئیں گے سنتے تھے سحر ہوگی ,Faiz Ahmad Faiz
اک طرز تغافل ہے سو وہ ان کو مبارک ,اک عرض تمنا ہے سو ہم کرتے رہیں گے ,Faiz Ahmad Faiz
آئے تو یوں کہ جیسے ہمیشہ تھے مہربان ,بھولے تو یوں کہ گویا کبھی آشنا نہ تھے ,Faiz Ahmad Faiz
زندگی کیا کسی مفلس کی قبا ہے جس میں ,ہر گھڑی درد کے پیوند لگے جاتے ہیں ,Faiz Ahmad Faiz
وہ آ رہے ہیں وہ آتے ہیں آ رہے ہوں گے ,شب فراق یہ کہہ کر گزار دی ہم نے ,Faiz Ahmad Faiz
''آپ کی یاد آتی رہی رات بھر'' ,چاندنی دل دکھاتی رہی رات بھر ,Faiz Ahmad Faiz
نہ جانے کس لیے امیدوار بیٹھا ہوں ,اک ایسی راہ پہ جو تیری رہ گزر بھی نہیں ,Faiz Ahmad Faiz
مقام فیضؔ کوئی راہ میں جچا ہی نہیں ,جو کوئے یار سے نکلے تو سوئے دار چلے ,Faiz Ahmad Faiz
ہم پرورش لوح و قلم کرتے رہیں گے ,جو دل پہ گزرتی ہے رقم کرتے رہیں گے ,Faiz Ahmad Faiz
جانتا ہے کہ وہ نہ آئیں گے ,پھر بھی مصروف انتظار ہے دل ,Faiz Ahmad Faiz
گر بازی عشق کی بازی ہے جو چاہو لگا دو ڈر کیسا ,گر جیت گئے تو کیا کہنا ہارے بھی تو بازی مات نہیں ,Faiz Ahmad Faiz
دنیا نے تیری یاد سے بیگانہ کر دیا ,تجھ سے بھی دل فریب ہیں غم روزگار کے ,Faiz Ahmad Faiz
یہ آرزو بھی بڑی چیز ہے مگر ہم دم ,وصال یار فقط آرزو کی بات نہیں ,Faiz Ahmad Faiz
اٹھ کر تو آ گئے ہیں تری بزم سے مگر ,کچھ دل ہی جانتا ہے کہ کس دل سے آئے ہیں ,Faiz Ahmad Faiz
اک فرصت گناہ ملی وہ بھی چار دن ,دیکھے ہیں ہم نے حوصلے پروردگار کے ,Faiz Ahmad Faiz
یہ داغ داغ اجالا یہ شب گزیدہ سحر ,وہ انتظار تھا جس کا یہ وہ سحر تو نہیں ,Faiz Ahmad Faiz
آئے کچھ ابر کچھ شراب آئے ,اس کے بعد آئے جو عذاب آئے ,Faiz Ahmad Faiz
تیرے قول و قرار سے پہلے ,اپنے کچھ اور بھی سہارے تھے ,Faiz Ahmad Faiz
نہ گل کھلے ہیں نہ ان سے ملے نہ مے پی ہے ,عجیب رنگ میں اب کے بہار گزری ہے ,Faiz Ahmad Faiz
بے دم ہوئے بیمار دوا کیوں نہیں دیتے ,تم اچھے مسیحا ہو شفا کیوں نہیں دیتے ,Faiz Ahmad Faiz
ساری دنیا سے دور ہو جائے ,جو ذرا تیرے پاس ہو بیٹھے ,Faiz Ahmad Faiz
جب تجھے یاد کر لیا صبح مہک مہک اٹھی ,جب ترا غم جگا لیا رات مچل مچل گئی ,Faiz Ahmad Faiz
رات یوں دل میں تری کھوئی ہوئی یاد آئی ,جیسے ویرانے میں چپکے سے بہار آ جائے ,Faiz Ahmad Faiz
فیضؔ تھی راہ سر بسر منزل ,ہم جہاں پہنچے کامیاب آئے ,Faiz Ahmad Faiz
میری خاموشیوں میں لرزاں ہے ,میرے نالوں کی گم شدہ آواز ,Faiz Ahmad Faiz
ہم شیخ نہ لیڈر نہ مصاحب نہ صحافی ,جو خود نہیں کرتے وہ ہدایت نہ کریں گے ,Faiz Ahmad Faiz
دل سے تو ہر معاملہ کر کے چلے تھے صاف ہم ,کہنے میں ان کے سامنے بات بدل بدل گئی ,Faiz Ahmad Faiz
اب اپنا اختیار ہے چاہے جہاں چلیں ,رہبر سے اپنی راہ جدا کر چکے ہیں ہم ,Faiz Ahmad Faiz
شام فراق اب نہ پوچھ آئی اور آ کے ٹل گئی ,دل تھا کہ پھر بہل گیا جاں تھی کہ پھر سنبھل گئی ,Faiz Ahmad Faiz
جدا تھے ہم تو میسر تھیں قربتیں کتنی ,بہم ہوئے تو پڑی ہیں جدائیاں کیا کیا ,Faiz Ahmad Faiz
کٹتے بھی چلو بڑھتے بھی چلو بازو بھی بہت ہیں سر بھی بہت ,چلتے بھی چلو کہ اب ڈیرے منزل ہی پہ ڈالے جائیں گے ,Faiz Ahmad Faiz
انہیں کے فیض سے بازار عقل روشن ہے ,جو گاہ گاہ جنوں اختیار کرتے رہے ,Faiz Ahmad Faiz
خیر دوزخ میں مے ملے نہ ملے ,شیخ صاحب سے جاں تو چھوٹے گی ,Faiz Ahmad Faiz
اگر شرر ہے تو بھڑکے جو پھول ہے تو کھلے ,طرح طرح کی طلب تیرے رنگ لب سے ہے ,Faiz Ahmad Faiz
منت چارہ ساز کون کرے ,درد جب جاں نواز ہو جائے ,Faiz Ahmad Faiz
ادائے حسن کی معصومیت کو کم کر دے ,گناہ گار نظر کو حجاب آتا ہے ,Faiz Ahmad Faiz
تیز ہے آج درد دل ساقی ,تلخیٔ مے کو تیز تر کر دے ,Faiz Ahmad Faiz
غم جہاں ہو رخ یار ہو کہ دست عدو ,سلوک جس سے کیا ہم نے عاشقانہ کیا ,Faiz Ahmad Faiz
ہم سہل طلب کون سے فرہاد تھے لیکن ,اب شہر میں تیرے کوئی ہم سا بھی کہاں ہے ,Faiz Ahmad Faiz
ہر صدا پر لگے ہیں کان یہاں ,دل سنبھالے رہو زباں کی طرح ,Faiz Ahmad Faiz
پھر نظر میں پھول مہکے دل میں پھر شمعیں جلیں ,پھر تصور نے لیا اس بزم میں جانے کا نام ,Faiz Ahmad Faiz
ان میں لہو جلا ہو ہمارا کہ جان و دل ,محفل میں کچھ چراغ فروزاں ہوئے تو ہیں ,Faiz Ahmad Faiz
شیخ صاحب سے رسم و راہ نہ کی ,شکر ہے زندگی تباہ نہ کی ,Faiz Ahmad Faiz
مری جان آج کا غم نہ کر کہ نہ جانے کاتب وقت نے ,کسی اپنے کل میں بھی بھول کر کہیں لکھ رکھی ہوں مسرتیں ,Faiz Ahmad Faiz
تم آئے ہو نہ شب انتظار گزری ہے ,تلاش میں ہے سحر بار بار گزری ہے ,Faiz Ahmad Faiz
ہم سے کہتے ہیں چمن والے غریبان چمن ,تم کوئی اچھا سا رکھ لو اپنے ویرانے کا نام ,Faiz Ahmad Faiz
ہم ایسے سادہ دلوں کی نیاز مندی سے ,بتوں نے کی ہیں جہاں میں خدائیاں کیا کیا ,Faiz Ahmad Faiz
مری چشم تن آساں کو بصیرت مل گئی جب سے ,بہت جانی ہوئی صورت بھی پہچانی نہیں جاتی ,Faiz Ahmad Faiz
یوں سجا چاند کہ جھلکا ترے انداز کا رنگ ,یوں فضا مہکی کہ بدلا مرے ہم راز کا رنگ ,Faiz Ahmad Faiz
ہم اہل قفس تنہا بھی نہیں ہر روز نسیم صبح وطن ,یادوں سے معطر آتی ہے اشکوں سے منور جاتی ہے ,Faiz Ahmad Faiz
